IC50_label,smiles
0,CC(C)C(C(=O)NCC1=CC=CC=C1)NC(=O)C(C)CC(C(COCC2=CC=CC=C2)NC(=O)C3=CC(=CC(=C3)C(=O)NC(C)C4=CC=CC=C4)N(C)S(=O)(=O)C)O
0,CCCCC1CCN(C1=O)C(CCC2=CC=CC=C2)C(=O)NC(CC3=CC(=CC(=C3)F)F)C(C4CC5=CC=CC=C5CN4)O
0,CC(C)CC(C(CC(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)O)O)NC(=O)C(CCSC)NC(=O)C(C(C)C)NC(=O)C
0,C1CN(CCN1)C2=C(C=C(C=C2)Br)NC(=O)C3=CC=CC4=CC=CC=C43.C(=O)(C(F)(F)F)O
0,C1=CC=[N+](C=C1)CC(=O)NC2=CC=CC(=C2)C(=O)NC3=CC=C(C=C3)Cl.[Cl-]
0,CC(=O)NC(CC1=CC(=CC(=C1)F)F)C(CNC2(CCCCC2)C3=CC(=CC=C3)N4CCCNC4=O)O
0,C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCNC4=C5CC6=CC=CC=C6C5=NC7=CC=CC=C74
0,C1CS(=O)(=O)C2=C(C1OC(=O)C3CC4(CN3)C5=CC=CC=C5NC4=O)C=C(C=C2)Br
0,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)OCC3=C(C=C(C=C3)F)F)OCC4=C(C=C(C=C4)F)F
0,CCC(C(=O)NC(CC(=O)O)C(=O)CCCC1=CC=CC=C1)N2C=C(N=C(C2=O)NC3=CC4=C(C=C3)OCCO4)C(C)(C)C
0,COC1=CC=CC=C1C(=O)NN
0,C1=CC=C(C=C1)NNC2=CC=CC=C2
0,CCCC(=O)NN
0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NN
0,C1=CC=C(C(=C1)C(=O)NN)[N+](=O)[O-]
0,C1=CN=CC=C1NNC2=CC=NC=C2
0,C1CC(OC1)CN2C(=O)C3=C(C=C(C=C3N=C2N)C4=CC=CC=C4)C5=CC=NC=C5
0,C1C=C(CC(CN1)CCC(=O)C2=CC=C(C=C2)N)COC(=O)C3=CC4=CC=CC=C4C=C3
0,C1CCNC(C1)C(=O)NC(CC2=CC=C(C=C2)C3=CC=C(C=C3)C#N)C#N
0,CC(C)CC(C(=O)NCCNC1=CC=C(C=C1)OC2CCN(CC2)C)NC(=O)OCC3=CC=CC=C3
0,CCCCC(C(=O)C(=O)NC1CCCNC1=O)NC(=O)OC(C(C)C)C(C)C
0,C1=CC=C(C=C1)CN2C(=O)C(=NN(C2=O)C3=CC=CC(=C3)C(F)(F)F)C#N
0,CCCC1=CC(=NC(=N1)C#N)C2=C(C(=CC=C2)C(F)(F)F)Cl
0,CCCC1=CC(=NC(=N1)C#N)C2=C(C=CC(=C2)C(F)(F)F)Cl
0,CC1CC(CN1C#N)NS(=O)(=O)C2=CC(=CC=C2)Br
